1,36,,700.56,429,1667651663
2,50,18,643.05,877,1681307801
3,172,22,788.5,962,1685234783
4,72,15,140.22,390,1627217300
5,6,,812.54,336,1662847796
6,134,16,1133.02,248,1650874196
7,166,7,288.57,648,1601001161
8,95,18,669.99,200,1654562974
9,43,26,780.87,120,1701427078
10,15,,870.98,301,1660739996
11,13,9,483.68,260,1610627488
12,22,,941.68,471,1697844673
13,122,15,1079.24,600,1685843196
14,152,24,349.18,555,1682541129
15,126,,268.45,457,1687437193
16,41,23,100.02,508,1701788124
17,99,11,891.31,470,1658460298
18,66,30,1147.47,754,1708024487
19,94,,430.78,1131,1643698751
20,33,8,172.38,753,1697287199
21,126,16,380.84,824,1702315141
22,132,,519.11,1177,1621536080
23,103,,855.81,404,1655649297
24,114,,243.99,1137,1651972421
25,145,12,484.78,104,1637803176
26,94,,643.52,1169,1698068136
27,29,,936.16,128,1597459275
28,67,,110.89,906,1643156620
29,82,5,271.42,970,1649608627
30,167,22,310.71,1085,1708761541
31,99,10,958.13,236,1688603322
32,26,,1118.63,142,1677094927
33,136,,609.55,689,1662666468
34,48,19,795.44,485,1637824864
35,82,,909.0,642,1658691161
36,130,,330.83,194,1663176656
37,121,12,504.59,105,1678312522
38,121,16,106.04,142,1684291750
39,67,11,491.07,105,1691288297
40,95,23,716.07,1194,1636608037
41,87,,1137.74,431,1657925058
42,71,13,826.47,352,1615853788
43,53,21,195.12,756,1700088064
44,35,7,303.0,1127,1624068072
45,148,,750.63,564,1640181485
46,31,13,159.06,1135,1653352953
47,115,,196.32,564,1662549942
48,133,25,562.4,560,1675000489
49,68,16,320.14,883,1683496581
50,74,11,986.78,514,1657074269
51,67,,995.95,472,1664076704
52,19,20,909.86,1043,1615778436
53,173,2,347.83,904,1671562128
54,99,14,1044.38,895,1704463695
55,19,30,653.68,398,1669816589
56,166,26,807.2,827,1635904896
57,111,7,307.54,1161,1602020220
58,71,,819.4,774,1683117774
59,185,,1120.87,369,1627912257
60,152,24,262.01,1162,1605686619
61,162,26,475.43,1067,1631782348
62,47,,433.57,824,1614930791
63,193,17,248.13,1028,1683091542
64,58,18,706.21,395,1688168499
65,93,,1183.82,301,1695153129
66,107,29,277.53,834,1610571578
67,44,16,1108.72,447,1593510651
68,52,16,1030.84,525,1636775320
69,118,,562.78,286,1626571379
70,183,,872.69,269,1690960681
71,127,27,658.35,1003,1665313201
72,31,,1069.33,543,1685314133
73,109,25,1167.18,247,1697765783
74,9,30,443.6,587,1632036929
75,102,18,501.17,960,1630577432
76,36,,669.33,141,1703206686
77,125,,699.24,567,1633268544
78,185,,475.3,1004,1644521766
79,165,,1026.04,643,1648219845
80,69,,285.8,1138,1675706860
81,32,3,734.66,206,1603998219
82,132,13,734.98,757,1610445096
83,28,22,1048.61,626,1690193775
84,38,11,641.89,780,1637445762
85,92,,966.4,289,1694862424
86,91,26,414.94,682,1586464416
87,17,16,239.66,1081,1662460338
88,61,,625.79,448,1646326992
89,160,21,970.69,293,1710245080
90,30,7,567.82,1065,1623066555
91,168,5,494.58,1044,1647655142
92,136,6,319.05,146,1607660042
93,133,20,458.49,827,1647503299
94,159,29,684.32,354,1592149516
95,69,23,600.39,281,1642940322
96,195,,964.11,591,1708585277
97,36,,652.33,878,1635114674
98,113,8,366.29,1059,1643123275
99,161,28,652.59,210,1589928539
100,37,,564.31,393,1673739580
101,198,28,1111.38,100,1657354192
102,45,,126.01,623,1647355540
103,159,21,1133.01,1165,1616067078
104,128,5,1182.61,1005,1635930405
105,66,8,1121.16,109,1686598264
106,13,,1075.0,107,1636022264
107,192,27,138.49,166,1671800974
108,93,17,569.32,985,1655220046
109,178,29,1198.19,350,1710776164
110,189,28,225.53,274,1697478427
111,72,21,794.35,862,1669304518
112,162,,480.49,474,1676876681
113,194,,623.82,600,1708977465
114,44,,919.55,1024,1628055364
115,176,4,398.34,201,1704511984
116,141,27,1135.13,413,1710442704
117,187,29,381.85,914,1599058873
118,30,7,947.64,432,1613261516
119,40,8,919.45,1142,1588081683
120,193,20,664.11,676,1671204807
121,106,,460.33,507,1683513915
122,142,30,951.24,679,1669818837
123,89,16,1132.13,683,1628793310
124,108,17,1177.66,413,1626089921
125,25,2,1034.15,621,1603925314
126,9,,665.78,264,1688304099
127,192,,620.06,554,1671301917
128,196,,252.48,724,1700884900
129,128,23,793.13,188,1620260886
130,137,,857.04,704,1699330192
131,129,,303.78,465,1690203532
132,100,,176.41,964,1649610694
133,114,,989.97,205,1652661369
134,108,8,952.31,878,1628541033
135,146,29,523.14,363,1619489727
136,24,29,853.16,485,1664428364
137,101,17,407.82,211,1621995836
138,57,18,784.1,817,1653909399
139,31,,910.3,617,1585535095
140,184,2,758.8,513,1649678355
141,20,,1033.41,149,1595428482
142,103,,188.03,451,1622434074
143,195,10,567.92,197,1673973963
144,45,,737.42,520,1626637612
145,179,1,377.81,171,1690135496
146,44,,738.36,837,1603854675
147,196,,468.8,366,1624233625
148,131,,667.95,686,1616084116
149,182,24,299.68,867,1652735471
150,124,20,157.04,131,1668795842
151,26,,604.97,674,1631970925
152,38,,350.5,340,1666301599
153,59,9,1153.59,909,1693681571
154,198,,672.6,922,1597705770
155,38,,849.07,375,1596653329
156,146,12,947.14,373,1708979596
157,133,25,498.73,1117,1707615323
158,191,,962.88,417,1703410354
159,129,25,302.96,1047,1683138089
160,22,1,630.38,230,1650062280
161,164,,1164.97,767,1681001382
162,99,,199.59,690,1663391425
163,168,19,877.62,555,1613844191
164,181,10,1124.98,612,1650004434
165,37,27,642.98,102,1586592925
166,176,,1015.46,864,1686632417
167,1,25,1030.88,559,1696941997
168,32,27,689.71,678,1617343829
169,92,11,139.28,882,1641505472
170,128,11,331.57,876,1614588067
171,51,1,360.6,789,1625848660
172,37,28,963.33,950,1632353601
173,30,18,1148.93,219,1665000110
174,155,3,1013.3,131,1657617823
175,145,3,779.46,415,1679194590
176,86,,948.8,1034,1698819476
177,49,24,165.61,153,1708037798
178,14,7,932.07,988,1601410621
179,3,12,956.44,1183,1591125142
180,11,,1028.87,783,1667100559
